,pm10,so2,co,o3,no2,max,critical,category
1343,70.0,7.0,10.0,139.0,12.0,139.0,O3,UNHEALTHY
1344,61.0,2.0,13.0,123.0,12.0,123.0,O3,UNHEALTHY
1345,68.0,3.0,20.0,78.0,13.0,78.0,O3,MODERATE
1346,18.0,7.0,22.0,92.0,7.0,92.0,O3,MODERATE
1347,20.0,8.0,27.0,90.0,10.0,90.0,O3,MODERATE
1348,21.0,8.0,42.0,98.0,10.0,98.0,O3,MODERATE
1349,22.0,9.0,30.0,105.0,18.0,105.0,O3,UNHEALTHY
1350,76.0,5.0,13.0,65.0,12.0,76.0,PM10,MODERATE
1351,19.0,7.0,31.0,114.0,9.0,114.0,O3,UNHEALTHY
1352,71.0,3.0,14.0,113.0,10.0,113.0,O3,UNHEALTHY
1353,20.0,6.0,35.0,98.0,8.0,98.0,O3,MODERATE
1354,52.0,7.0,7.0,63.0,12.0,63.0,O3,MODERATE
1355,68.0,7.0,9.0,138.0,10.0,138.0,O3,UNHEALTHY
1356,67.0,4.0,16.0,110.0,11.0,110.0,O3,UNHEALTHY
1357,69.0,10.0,8.0,91.0,10.0,91.0,O3,MODERATE
1358,18.0,7.0,20.0,84.0,11.0,84.0,O3,MODERATE
1359,62.0,6.0,6.0,134.0,9.0,134.0,O3,UNHEALTHY
1360,20.0,7.0,19.0,107.0,6.0,107.0,O3,UNHEALTHY
1361,61.0,7.0,6.0,128.0,9.0,128.0,O3,UNHEALTHY
1362,60.0,8.0,5.0,79.0,8.0,79.0,O3,MODERATE
1363,76.0,7.0,7.0,117.0,11.0,117.0,O3,UNHEALTHY
1364,67.0,4.0,17.0,100.0,16.0,100.0,O3,MODERATE
1365,62.0,4.0,13.0,118.0,17.0,118.0,O3,UNHEALTHY
1366,46.0,8.0,18.0,91.0,5.0,91.0,O3,MODERATE
1367,77.0,10.0,15.0,88.0,12.0,88.0,O3,MODERATE
1368,73.0,7.0,8.0,54.0,9.0,73.0,PM10,MODERATE
1369,101.0,8.0,21.0,79.0,23.0,101.0,PM10,UNHEALTHY
1370,82.0,10.0,10.0,110.0,13.0,110.0,O3,UNHEALTHY
1371,41.0,19.0,32.0,110.0,6.0,110.0,O3,UNHEALTHY
1372,85.0,4.0,16.0,134.0,10.0,134.0,O3,UNHEALTHY
1373,68.0,28.0,16.0,107.0,17.0,107.0,O3,UNHEALTHY
1374,69.0,7.0,6.0,134.0,7.0,134.0,O3,UNHEALTHY
1375,57.0,8.0,19.0,101.0,5.0,101.0,O3,UNHEALTHY
1376,90.0,9.0,11.0,88.0,21.0,90.0,PM10,MODERATE
1377,70.0,8.0,9.0,117.0,12.0,117.0,O3,UNHEALTHY
1378,43.0,8.0,22.0,93.0,13.0,93.0,O3,MODERATE
1379,51.0,9.0,38.0,107.0,15.0,107.0,O3,UNHEALTHY
1380,36.0,8.0,19.0,121.0,8.0,121.0,O3,UNHEALTHY
1381,67.0,4.0,11.0,119.0,8.0,119.0,O3,UNHEALTHY
1382,65.0,3.0,36.0,120.0,9.0,120.0,O3,UNHEALTHY
1383,31.0,8.0,24.0,80.0,10.0,80.0,O3,MODERATE
1384,30.0,8.0,24.0,80.0,9.0,80.0,O3,MODERATE
1385,72.0,4.0,11.0,45.0,8.0,72.0,PM10,MODERATE
1386,73.0,4.0,8.0,83.0,8.0,83.0,O3,MODERATE
1387,37.0,8.0,47.0,139.0,8.0,139.0,O3,UNHEALTHY
1388,56.0,11.0,5.0,91.0,12.0,91.0,O3,MODERATE
1389,60.0,34.0,20.0,105.0,15.0,105.0,O3,UNHEALTHY
1390,39.0,8.0,30.0,89.0,7.0,89.0,O3,MODERATE
1391,62.0,8.0,10.0,91.0,16.0,91.0,O3,MODERATE
1392,28.0,7.0,37.0,103.0,11.0,103.0,O3,UNHEALTHY
1393,70.0,3.0,19.0,159.0,14.0,159.0,O3,UNHEALTHY
1394,69.0,7.0,10.0,110.0,11.0,110.0,O3,UNHEALTHY
1395,75.0,45.0,30.0,85.0,18.0,85.0,O3,MODERATE
1396,57.0,6.0,21.0,124.0,9.0,124.0,O3,UNHEALTHY
1397,54.0,2.0,23.0,125.0,12.0,125.0,O3,UNHEALTHY
1398,54.0,3.0,26.0,95.0,12.0,95.0,O3,MODERATE
1399,60.0,3.0,21.0,120.0,12.0,120.0,O3,UNHEALTHY
1400,58.0,3.0,22.0,130.0,12.0,130.0,O3,UNHEALTHY
1401,64.0,8.0,10.0,97.0,11.0,97.0,O3,MODERATE
